"Utc","AvailableMiB","PagesInputPerSecond","PagesOutputPerSecond","PercentCommitted"
"2026-09-06T18:13:31.5551846Z","4723","5280","0","57"
"2026-09-06T18:13:36.9657574Z","3398","0","0","61"
"2026-09-06T18:13:42.2618715Z","3217","121","0","61"
"2026-09-06T18:13:47.5594788Z","3632","147","0","59"
"2026-09-06T18:13:52.8635861Z","3679","7","0","59"
"2026-09-06T18:13:58.1662428Z","3642","0","0","59"
"2026-09-06T18:14:03.4567165Z","3456","1017","0","60"
"2026-09-06T18:14:08.7594905Z","3623","0","0","59"
"2026-09-06T18:14:14.0669138Z","3557","0","0","59"
"2026-09-06T18:14:19.3701952Z","3608","26","0","59"
"2026-09-06T18:14:24.6710489Z","3559","0","0","59"
