"Utc","AvailableMiB","PagesInputPerSecond","PagesOutputPerSecond","PercentCommitted"
"2026-09-07T06:09:38.4413394Z","889","1480","0","60"
"2026-09-07T06:09:43.7998586Z","578","17750","0","62"
"2026-09-07T06:09:49.1024835Z","116","10626","0","64"
"2026-09-07T06:09:54.3991888Z","80","6388","0","65"
"2026-09-07T06:09:59.6892227Z","577","6565","0","65"
"2026-09-07T06:10:04.9796520Z","508","269","0","67"
"2026-09-07T06:10:10.2819140Z","1339","427","0","66"
"2026-09-07T06:10:15.5673132Z","1625","4666","0","66"
"2026-09-07T06:10:20.8589062Z","2216","238","0","66"
"2026-09-07T06:10:26.1498012Z","690","258","0","71"
"2026-09-07T06:10:31.4604999Z","1348","1557","0","64"
"2026-09-07T06:10:36.7423623Z","2034","247","0","62"
"2026-09-07T06:10:42.0809472Z","1963","1725","0","62"
"2026-09-07T06:10:47.3731257Z","1869","5315","0","63"
"2026-09-07T06:10:52.6668657Z","1758","4682","24090","65"
"2026-09-07T06:10:57.9649066Z","1136","707","0","67"
"2026-09-07T06:11:03.2612180Z","1460","500","0","64"
"2026-09-07T06:11:08.5477702Z","1632","346","0","66"
"2026-09-07T06:11:13.8386240Z","2246","87","0","65"
"2026-09-07T06:11:19.1311398Z","1843","0","0","66"
"2026-09-07T06:11:24.4199083Z","2160","5162","0","66"
"2026-09-07T06:11:29.7198697Z","2683","15","0","60"
"2026-09-07T06:11:35.0217093Z","1952","0","0","63"
"2026-09-07T06:11:40.3000646Z","2006","47","0","62"
"2026-09-07T06:11:45.6084478Z","1255","131","0","64"
"2026-09-07T06:11:50.9126971Z","2497","1144","0","62"
"2026-09-07T06:11:56.2133585Z","2182","1910","0","62"
"2026-09-07T06:12:01.5039258Z","1356","29067","0","63"
"2026-09-07T06:12:06.8120275Z","1290","748","0","64"
"2026-09-07T06:12:12.1069526Z","1568","36023","0","64"
"2026-09-07T06:12:17.4051276Z","1577","18756","10829","66"
"2026-09-07T06:12:22.7005447Z","1383","3152","4915","68"
"2026-09-07T06:12:27.9999091Z","2026","0","0","66"
"2026-09-07T06:12:33.3017572Z","2355","3529","0","61"
"2026-09-07T06:12:38.5833296Z","2123","313","0","62"
"2026-09-07T06:12:43.8791758Z","2743","360","0","60"
"2026-09-07T06:12:49.1833606Z","1277","8177","0","65"
"2026-09-07T06:12:54.4841362Z","2433","4810","0","62"
"2026-09-07T06:12:59.7747708Z","2121","6626","0","64"
"2026-09-07T06:13:05.0568199Z","2251","99","0","62"
"2026-09-07T06:13:10.3386859Z","1600","3160","0","63"
"2026-09-07T06:13:15.6413220Z","1224","2620","0","66"
"2026-09-07T06:13:20.9412897Z","1185","5997","7","67"
"2026-09-07T06:13:26.2317528Z","1156","2261","0","69"
"2026-09-07T06:13:31.5252318Z","1843","98","0","64"
"2026-09-07T06:13:36.8156811Z","2141","0","0","63"
"2026-09-07T06:13:42.1135613Z","1565","0","0","64"
"2026-09-07T06:13:47.4095576Z","1278","684","0","67"
"2026-09-07T06:13:52.7002372Z","1878","2523","0","66"
"2026-09-07T06:13:58.0062174Z","1507","3619","0","66"
"2026-09-07T06:14:03.3169439Z","1946","721","0","64"
"2026-09-07T06:14:08.6119376Z","1212","0","0","66"
"2026-09-07T06:14:13.9190596Z","1541","92303","0","66"
"2026-09-07T06:14:19.2233531Z","1146","2511","71330","67"
"2026-09-07T06:14:24.5248158Z","1474","95946","0","68"
"2026-09-07T06:14:29.8254062Z","1218","30388","0","70"
"2026-09-07T06:14:35.1193563Z","1928","2265","0","66"
"2026-09-07T06:14:40.4697110Z","1829","3679","30319","67"
"2026-09-07T06:14:45.7667724Z","1675","155","0","68"
"2026-09-07T06:14:51.0703317Z","2135","185","0","68"
"2026-09-07T06:14:56.3692729Z","2062","76","0","70"
"2026-09-07T06:15:01.6636445Z","3129","308","0","66"
"2026-09-07T06:15:06.9675897Z","2772","458","0","63"
"2026-09-07T06:15:12.2620451Z","1846","151","0","67"
"2026-09-07T06:15:17.5561028Z","2725","0","0","65"
"2026-09-07T06:15:22.8692484Z","2549","0","0","65"
"2026-09-07T06:15:28.1735014Z","2923","334","0","64"
"2026-09-07T06:15:33.4597359Z","2145","191","0","65"
"2026-09-07T06:15:38.7652416Z","1873","2130","0","68"
"2026-09-07T06:15:44.0541185Z","2425","1418","0","66"
"2026-09-07T06:15:49.3548557Z","2558","0","248114","66"
"2026-09-07T06:15:54.6575276Z","3703","64","0","66"
"2026-09-07T06:15:59.9559140Z","2748","132","0","68"
"2026-09-07T06:16:05.2477374Z","3278","63","0","63"
