--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- ----------cpu----------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st  gu
   1    0            0     11006284        83648       764892    0    0  2630   144 2226    9  20   2  77   1   0   0
   0    0            0     10322516        89100      1251488    0    0  1526   646 8792 18370   3   6  90   1   0   0
   0    0            0      9700628        89128      1698132    0    0     0    79 7911 16674   2   7  91   0   0   0
   0    0            0      9000632        89136      2226400    0    0     0    12 9268 19632   2   5  93   0   0   0
   0    0            0      8313488        89136      2733008    0    0     0     0 8886 18828   2   5  94   0   0   0
   0    0            0      7645232        89144      3226884    0    0     0     7 8676 18372   2   5  93   0   0   0
   0    0            0      6990596        89144      3713404    0    0     0    89 8568 18109   2   5  93   0   0   0
   0    0            0      6328652        89144      4204536    0    0     0     0 8637 18273   2   6  92   0   0   0
   1    0            0      5648300        89144      4697832    0    0     0     0 8667 18337   2   5  93   0   0   0
   1    0            0      5048616        89152      5133152    0    0     0     5 7712 16207   5   5  90   0   0   0
   1    0            0      5012076        89152      5133152    0    0     0     0  308   59  25   1  75   0   0   0
   1    0            0      4960416        89152      5133152    0    0     0     0  309   62  25   1  75   0   0   0
   1    0            0      4954368        89152      5133152    0    0     0     0  317   62  25   0  75   0   0   0
   1    0            0      4696320        89152      5133152    0    0     0     0  308   55  24   1  75   0   0   0
   1    0            0      4682208        89168      5133152    0    0     0    25  317   66  25   0  75   0   0   0
   1    0            0      4682208        89176      5133152    0    0     0    21  317   69  25   0  75   0   0   0
   1    0            0      4682208        89176      5133152    0    0     0     0  305   56  25   0  75   0   0   0
   1    0            0      4682208        89184      5133152    0    0     0     9  309   59  25   0  75   0   0   0
   1    0            0      4682208        89184      5133152    0    0     0     7  309   57  25   0  75   0   0   0
   1    0            0      4682208        89184      5133152    0    0     0     0  306   55  25   0  75   0   0   0
   1    0            0      4682208        89184      5133152    0    0     0     0  306   52  25   0  75   0   0   0
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- ----------cpu----------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st  gu
   1    0            0      4682208        89184      5133152    0    0     0     0  311   58  25   0  75   0   0   0
   1    0            0      4682208        89184      5133152    0    0     0     0  304   53  25   0  75   0   0   0
   1    0            0      4682208        89184      5133152    0    0     0     0  303   54  25   0  75   0   0   0
   1    0            0      4682208        89184      5133152    0    0     0     0  305   51  25   0  75   0   0   0
   1    0            0      4682208        89184      5133152    0    0     0     0  302   51  25   0  75   0   0   0
   1    0            0      4682208        89200      5133156    0    0     0    25  315   62  25   0  75   0   0   0
   1    0            0      4682208        89208      5133156    0    0     0    15  325   71  25   0  75   0   0   0
   1    0            0      4682208        89208      5133156    0    0     0     0  310   58  25   0  75   0   0   0
   1    0            0      4682208        89216      5133156    0    0     0    10  311   58  25   0  75   0   0   0
   1    0            0      4682208        89216      5133156    0    0     0     0  308   55  25   0  75   0   0   0
   1    0            0      4682208        89216      5133156    0    0     0     0  305   54  25   0  75   0   0   0
   1    0            0      4682208        89216      5133156    0    0     0     0  304   53  25   0  75   0   0   0
   1    0            0      4682208        89216      5133156    0    0     0     0  306   55  25   0  75   0   0   0
   1    0            0      4682208        89216      5133156    0    0     0    12  306   54  25   0  75   0   0   0
   1    0            0      4682208        89216      5133156    0    0     0     0  303   54  25   0  75   0   0   0
   1    0            0      4682208        89216      5133156    0    0     0     0  297   50  25   0  75   0   0   0
   1    0            0      4682208        89216      5133156    0    0     0     0  302   53  25   0  75   0   0   0
   1    0            0      4682208        89232      5133156    0    0     0    23  310   62  25   0  75   0   0   0
   1    0            0      4682208        89240      5133156    0    0     0     9  319   67  25   0  75   0   0   0
   1    0            0      4682208        89240      5133156    0    0     0     0  307   56  25   0  75   0   0   0
   1    0            0      4682208        89248      5133156    0    0     0    10  307   59  25   0  75   0   0   0
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- ----------cpu----------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st  gu
   1    0            0      4682208        89248      5133156    0    0     0     0  306   57  25   0  75   0   0   0
   1    0            0      4682208        89248      5133156    0    0     0     0  306   54  25   0  75   0   0   0
   1    0            0      4682208        89248      5133156    0    0     0     0  302   52  25   0  75   0   0   0
   1    0            0      4682208        89248      5133156    0    0     0    15  307   58  25   0  75   0   0   0
   2    0            0      4682208        89248      5133156    0    0     0     0  303   52  25   0  75   0   0   0
   1    0            0      4682208        89248      5133156    0    0     0     0  310   57  25   0  75   0   0   0
   1    0            0      4592748        89248      5133164    0    0     0     0  488  207  28   3  69   0   0   0
