"Utc","AvailableMiB","PagesInputPerSecond","PagesOutputPerSecond","PercentCommitted"
"2026-09-06T17:58:45.5319593Z","3616","672","0","59"
"2026-09-06T17:58:50.8669275Z","2959","3402","0","61"
"2026-09-06T17:58:56.1590799Z","3548","0","0","60"
"2026-09-06T17:59:01.4590320Z","2790","2148","0","61"
"2026-09-06T17:59:06.7559746Z","2719","259","0","63"
"2026-09-06T17:59:12.0508661Z","2464","341","0","63"
"2026-09-06T17:59:17.3502570Z","2673","0","0","64"
"2026-09-06T17:59:22.6501822Z","2821","7","0","64"
"2026-09-06T17:59:27.9539772Z","2777","172","0","64"
"2026-09-06T17:59:33.2595273Z","2856","61","10848","62"
"2026-09-06T17:59:38.5545935Z","3316","0","0","61"
"2026-09-06T17:59:43.8508064Z","3265","0","0","62"
"2026-09-06T17:59:49.1555751Z","3197","0","0","61"
"2026-09-06T17:59:54.4491513Z","2431","646","0","65"
"2026-09-06T17:59:59.7476652Z","3263","3","0","63"
"2026-09-06T18:00:05.0530625Z","3528","183","0","59"
"2026-09-06T18:00:10.3589449Z","2947","0","0","61"
"2026-09-06T18:00:15.6480324Z","3226","0","0","61"
"2026-09-06T18:00:20.9526474Z","2708","0","0","63"
"2026-09-06T18:00:26.2555082Z","2709","0","0","64"
"2026-09-06T18:00:31.5553351Z","3234","0","0","63"
"2026-09-06T18:00:36.8502282Z","2957","0","0","61"
"2026-09-06T18:00:42.1500849Z","3242","22","0","61"
"2026-09-06T18:00:47.4467687Z","3153","0","0","61"
"2026-09-06T18:00:52.7529588Z","3591","0","0","61"
"2026-09-06T18:00:58.0530448Z","3133","0","0","62"
"2026-09-06T18:01:03.3521427Z","2674","0","0","63"
"2026-09-06T18:01:08.6586079Z","2799","0","0","63"
"2026-09-06T18:01:13.9621624Z","2200","61","0","65"
"2026-09-06T18:01:19.2636119Z","2799","0","0","63"
"2026-09-06T18:01:24.5608984Z","2984","132","0","64"
"2026-09-06T18:01:29.8666655Z","2459","0","0","66"
"2026-09-06T18:01:35.1780704Z","4050","220","0","58"
"2026-09-06T18:01:40.4738160Z","2964","185","0","61"
"2026-09-06T18:01:45.7676274Z","3285","403","0","61"
"2026-09-06T18:01:51.0683072Z","3153","0","0","61"
"2026-09-06T18:01:56.3663636Z","3957","0","0","61"
"2026-09-06T18:02:01.6687316Z","3465","76","0","61"
"2026-09-06T18:02:06.9729470Z","3061","0","0","61"
"2026-09-06T18:02:12.2802279Z","3675","0","0","61"
"2026-09-06T18:02:17.5629125Z","3481","3450","0","61"
"2026-09-06T18:02:22.8684010Z","3435","0","0","61"
"2026-09-06T18:02:28.1628080Z","2917","60","0","63"
"2026-09-06T18:02:33.4702248Z","3226","202","0","63"
"2026-09-06T18:02:38.7734929Z","3144","0","0","61"
"2026-09-06T18:02:44.0759663Z","3503","0","0","61"
"2026-09-06T18:02:49.3699492Z","3355","0","0","62"
"2026-09-06T18:02:54.6697868Z","3699","3","0","61"
"2026-09-06T18:02:59.9622344Z","2959","19","0","63"
"2026-09-06T18:03:05.2568611Z","3813","7","0","61"
"2026-09-06T18:03:10.5674526Z","3686","388","0","59"
"2026-09-06T18:03:15.8669931Z","4374","0","0","59"
"2026-09-06T18:03:21.1663544Z","4795","7","0","58"
"2026-09-06T18:03:26.4750190Z","3740","0","0","61"
"2026-09-06T18:03:31.7760329Z","4187","0","0","60"
"2026-09-06T18:03:37.0768308Z","4440","0","0","59"
"2026-09-06T18:03:42.3699093Z","3760","3","0","61"
"2026-09-06T18:03:47.6706332Z","3472","0","0","63"
"2026-09-06T18:03:52.9764549Z","4043","0","0","62"
"2026-09-06T18:03:58.2712362Z","3803","0","0","63"
"2026-09-06T18:04:03.5648036Z","3229","23","0","65"
"2026-09-06T18:04:08.8619436Z","4223","0","0","59"
"2026-09-06T18:04:14.1713631Z","4202","0","0","59"
"2026-09-06T18:04:19.4679540Z","4320","0","0","59"
"2026-09-06T18:04:24.7692435Z","4148","11","0","59"
"2026-09-06T18:04:30.0578965Z","3632","0","0","61"
"2026-09-06T18:04:35.3699931Z","4135","522","0","61"
"2026-09-06T18:04:40.6622425Z","4211","4939","0","59"
"2026-09-06T18:04:45.9663059Z","4040","1360","0","60"
"2026-09-06T18:04:51.2642754Z","3524","741","0","61"
"2026-09-06T18:04:56.5580317Z","3716","7513","0","61"
"2026-09-06T18:05:01.8541523Z","3368","15","0","63"
"2026-09-06T18:05:07.1598411Z","3885","0","0","61"
"2026-09-06T18:05:12.4607192Z","4230","0","0","59"
"2026-09-06T18:05:17.7549500Z","3726","11","0","61"
"2026-09-06T18:05:23.0596828Z","4112","0","0","60"
"2026-09-06T18:05:28.3512117Z","4020","0","0","61"
