dataset,deleted_ratio,index_name,total_scan_time_ms,avg_scan_time_us,total_returned,consolidation_time_ms
synthetic,0,Dynamic PGM (no compaction),0.230566,1.15283,20000,0
synthetic,0,Dynamic PGM (with compaction),0.090011,0.450055,20000,0
synthetic,0,std::set (ordered tree proxy),0.273048,1.36524,20000,0
synthetic,0,HRT-LI (no consolidation),0.629404,3.14702,20000,0
synthetic,0,HRT-LI (with consolidation),0.644027,3.22014,20000,0
synthetic,0.2,Dynamic PGM (no compaction),10.6764,53.3818,20000,0
synthetic,0.2,Dynamic PGM (with compaction),0.091644,0.45822,20000,0
synthetic,0.2,std::set (ordered tree proxy),0.399615,1.99808,20000,0
synthetic,0.2,HRT-LI (no consolidation),1.39386,6.96929,20000,0
synthetic,0.2,HRT-LI (with consolidation),0.815095,4.07547,20000,3.69523
synthetic,0.5,Dynamic PGM (no compaction),31.1916,155.958,20000,0
synthetic,0.5,Dynamic PGM (with compaction),0.093059,0.465295,20000,0
synthetic,0.5,std::set (ordered tree proxy),0.383748,1.91874,20000,0
synthetic,0.5,HRT-LI (no consolidation),2.36941,11.847,20000,0
synthetic,0.5,HRT-LI (with consolidation),0.799627,3.99813,20000,2.20949
synthetic,0.8,Dynamic PGM (no compaction),16.0517,80.2587,20000,0
synthetic,0.8,Dynamic PGM (with compaction),0.109981,0.549905,20000,0
synthetic,0.8,std::set (ordered tree proxy),0.421924,2.10962,20000,0
synthetic,0.8,HRT-LI (no consolidation),6.64529,33.2265,20000,0
synthetic,0.8,HRT-LI (with consolidation),1.114,5.57001,20000,1.34556
synthetic,0.95,Dynamic PGM (no compaction),32.6259,163.13,20000,0
synthetic,0.95,Dynamic PGM (with compaction),0.087801,0.439005,20000,0
synthetic,0.95,std::set (ordered tree proxy),0.428049,2.14025,20000,0
synthetic,0.95,HRT-LI (no consolidation),18.2614,91.3069,20000,0
synthetic,0.95,HRT-LI (with consolidation),0.736942,3.68471,20000,0.764949
dns,0,Dynamic PGM (no compaction),0.101376,0.50688,20000,0
dns,0,Dynamic PGM (with compaction),0.0867,0.4335,20000,0
dns,0,std::set (ordered tree proxy),0.264986,1.32493,20000,0
dns,0,HRT-LI (no consolidation),0.644594,3.22297,20000,0
dns,0,HRT-LI (with consolidation),0.586694,2.93347,20000,0
dns,0.2,Dynamic PGM (no compaction),9.29123,46.4561,20000,0
dns,0.2,Dynamic PGM (with compaction),0.085339,0.426695,20000,0
dns,0.2,std::set (ordered tree proxy),0.29913,1.49565,20000,0
dns,0.2,HRT-LI (no consolidation),1.13837,5.69182,20000,0
dns,0.2,HRT-LI (with consolidation),0.59842,2.9921,20000,2.94257
dns,0.5,Dynamic PGM (no compaction),30.2633,151.317,20000,0
dns,0.5,Dynamic PGM (with compaction),0.088085,0.440425,20000,0
dns,0.5,std::set (ordered tree proxy),0.427717,2.13859,20000,0
dns,0.5,HRT-LI (no consolidation),2.03673,10.1836,20000,0
dns,0.5,HRT-LI (with consolidation),0.714595,3.57298,20000,2.09507
dns,0.8,Dynamic PGM (no compaction),16.7055,83.5273,20000,0
dns,0.8,Dynamic PGM (with compaction),0.08184,0.4092,20000,0
dns,0.8,std::set (ordered tree proxy),0.308969,1.54485,20000,0
dns,0.8,HRT-LI (no consolidation),4.38771,21.9386,20000,0
dns,0.8,HRT-LI (with consolidation),0.621626,3.10813,20000,1.24379
dns,0.95,Dynamic PGM (no compaction),29.8653,149.327,20000,0
dns,0.95,Dynamic PGM (with compaction),0.079641,0.398205,20000,0
dns,0.95,std::set (ordered tree proxy),0.213756,1.06878,20000,0
dns,0.95,HRT-LI (no consolidation),16.3417,81.7085,20000,0
dns,0.95,HRT-LI (with consolidation),0.719995,3.59998,20000,0.627541
filesystem,0,Dynamic PGM (no compaction),0.081174,0.40587,20000,0
filesystem,0,Dynamic PGM (with compaction),0.079046,0.39523,20000,0
filesystem,0,std::set (ordered tree proxy),0.169071,0.845355,20000,0
filesystem,0,HRT-LI (no consolidation),0.969813,4.84906,20000,0
filesystem,0,HRT-LI (with consolidation),0.756814,3.78407,20000,0
filesystem,0.2,Dynamic PGM (no compaction),0.760954,3.80477,20000,0
filesystem,0.2,Dynamic PGM (with compaction),0.079809,0.399045,20000,0
filesystem,0.2,std::set (ordered tree proxy),0.174043,0.870215,20000,0
filesystem,0.2,HRT-LI (no consolidation),1.31078,6.5539,20000,0
filesystem,0.2,HRT-LI (with consolidation),0.906099,4.53049,20000,0.572945
filesystem,0.5,Dynamic PGM (no compaction),1.99651,9.98256,20000,0
filesystem,0.5,Dynamic PGM (with compaction),0.093123,0.465615,20000,0
filesystem,0.5,std::set (ordered tree proxy),0.160852,0.80426,20000,0
filesystem,0.5,HRT-LI (no consolidation),2.89279,14.464,20000,0
filesystem,0.5,HRT-LI (with consolidation),0.997228,4.98614,20000,0.304636
filesystem,0.8,Dynamic PGM (no compaction),0.23117,1.15585,20000,0
filesystem,0.8,Dynamic PGM (with compaction),0.07582,0.3791,20000,0
filesystem,0.8,std::set (ordered tree proxy),0.12561,0.62805,20000,0
filesystem,0.8,HRT-LI (no consolidation),5.06776,25.3388,20000,0
filesystem,0.8,HRT-LI (with consolidation),0.677425,3.38713,20000,0.28376
