"Utc","AvailableMiB","PagesInputPerSecond","PagesOutputPerSecond","PercentCommitted"
"2026-09-05T00:36:59.0138989Z","3424","4075","0","52"
"2026-09-05T00:37:04.3321565Z","2868","22835","0","54"
"2026-09-05T00:37:09.6323130Z","2286","29770","0","56"
"2026-09-05T00:37:14.9290863Z","1676","26498","0","58"
"2026-09-05T00:37:20.2089890Z","1011","30809","0","60"
"2026-09-05T00:37:25.5042256Z","986","20303","0","62"
"2026-09-05T00:37:30.8011275Z","437","25133","0","64"
"2026-09-05T00:37:36.0848970Z","476","28719","0","66"
"2026-09-05T00:37:41.3757122Z","313","22816","11950","68"
"2026-09-05T00:37:46.6787954Z","567","13014","0","69"
"2026-09-05T00:37:51.9831439Z","490","98","0","69"
"2026-09-05T00:37:57.2862184Z","533","0","0","69"
"2026-09-05T00:38:02.5941321Z","512","0","0","70"
"2026-09-05T00:38:07.8758209Z","540","15","0","70"
"2026-09-05T00:38:13.1775001Z","582","61","0","70"
"2026-09-05T00:38:18.4731398Z","479","3472","0","70"
"2026-09-05T00:38:23.7760383Z","486","150","0","70"
"2026-09-05T00:38:29.0621795Z","454","300","0","71"
"2026-09-05T00:38:34.3485836Z","432","30","0","71"
"2026-09-05T00:38:39.6536532Z","455","0","0","71"
"2026-09-05T00:38:44.9426717Z","414","0","0","71"
"2026-09-05T00:38:50.2477891Z","365","833","0","71"
"2026-09-05T00:38:55.5433000Z","379","3167","175","71"
"2026-09-05T00:39:00.8319157Z","473","3","0","71"
"2026-09-05T00:39:06.1187488Z","517","7","0","71"
"2026-09-05T00:39:11.4137991Z","514","0","0","71"
"2026-09-05T00:39:16.6939289Z","549","0","0","71"
"2026-09-05T00:39:21.9854866Z","528","62","0","71"
"2026-09-05T00:39:27.2734513Z","484","651","0","71"
"2026-09-05T00:39:32.5516778Z","505","0","0","70"
"2026-09-05T00:39:37.8434747Z","440","150","0","71"
"2026-09-05T00:39:43.1403493Z","368","17632","0","71"
"2026-09-05T00:39:48.4301594Z","461","165124","0","71"
"2026-09-05T00:39:53.7132622Z","555","126","0","70"
"2026-09-05T00:39:59.0028830Z","539","0","0","71"
"2026-09-05T00:40:04.3137780Z","518","123","0","71"
"2026-09-05T00:40:09.6032569Z","535","611","0","70"
"2026-09-05T00:40:14.8903348Z","531","3","0","70"
"2026-09-05T00:40:20.1921160Z","559","84","0","70"
"2026-09-05T00:40:25.4778488Z","551","0","0","70"
"2026-09-05T00:40:30.7753398Z","499","0","0","71"
"2026-09-05T00:40:36.0503385Z","535","0","0","71"
"2026-09-05T00:40:41.3297653Z","525","0","0","71"
"2026-09-05T00:40:46.6099505Z","566","55","0","71"
"2026-09-05T00:40:51.9071464Z","563","0","0","70"
"2026-09-05T00:40:57.2038481Z","584","0","0","70"
"2026-09-05T00:41:02.5037531Z","501","45","0","71"
"2026-09-05T00:41:07.8043227Z","592","0","0","71"
"2026-09-05T00:41:13.0787794Z","538","2231","0","71"
