dataset,write_ratio,index_name,throughput_mops,latency_ns,time_ms,trial
wiki_ts,0,HRT-LI,0.972712,1028.05,102.805,1
wiki_ts,0,HRT-LI v3,0.395032,2531.44,253.144,1
wiki_ts,0,ALEX,10.5418,94.86,9.486,1
wiki_ts,0,Dynamic PGM,5.70009,175.436,17.5436,1
wiki_ts,0,HOT,0.837723,1193.71,119.371,1
wiki_ts,0,ART,1.06484,939.111,93.9111,1
wiki_ts,0.01,HRT-LI,0.648835,1541.22,154.122,1
wiki_ts,0.01,HRT-LI v3,0.420082,2380.49,238.049,1
wiki_ts,0.01,ALEX,7.0477,141.89,14.189,1
wiki_ts,0.01,Dynamic PGM,1.68226,594.438,59.4438,1
wiki_ts,0.01,HOT,0.634811,1575.27,157.527,1
wiki_ts,0.01,ART,0.894352,1118.13,111.813,1
wiki_ts,0.02,HRT-LI,0.556498,1796.95,179.695,1
wiki_ts,0.02,HRT-LI v3,0.408853,2445.87,244.587,1
wiki_ts,0.02,ALEX,6.05842,165.059,16.5059,1
wiki_ts,0.02,Dynamic PGM,4.1595,240.413,24.0413,1
wiki_ts,0.02,HOT,0.771034,1296.96,129.696,1
wiki_ts,0.02,ART,1.31521,760.334,76.0334,1
wiki_ts,0.05,HRT-LI,0.382006,2617.76,261.776,1
wiki_ts,0.05,HRT-LI v3,0.429475,2328.43,232.843,1
wiki_ts,0.05,ALEX,9.24843,108.126,10.8126,1
wiki_ts,0.05,Dynamic PGM,3.52725,283.507,28.3507,1
wiki_ts,0.05,HOT,0.864761,1156.39,115.639,1
wiki_ts,0.05,ART,1.14253,875.25,87.525,1
wiki_ts,0.1,HRT-LI,0.364292,2745.05,274.505,1
wiki_ts,0.1,HRT-LI v3,0.349507,2861.17,286.117,1
wiki_ts,0.1,ALEX,5.37091,186.188,18.6188,1
wiki_ts,0.1,Dynamic PGM,3.54525,282.068,28.2068,1
wiki_ts,0.1,HOT,0.670683,1491.02,149.102,1
wiki_ts,0.1,ART,1.13908,877.9,87.79,1
wiki_ts,0.25,HRT-LI,0.249797,4003.25,400.325,1
wiki_ts,0.25,HRT-LI v3,0.367782,2719,271.9,1
wiki_ts,0.25,ALEX,8.33298,120.005,12.0005,1
wiki_ts,0.25,Dynamic PGM,3.74732,266.857,26.6857,1
wiki_ts,0.25,HOT,0.620499,1611.61,161.161,1
wiki_ts,0.25,ART,0.989394,1010.72,101.072,1
wiki_ts,0.5,HRT-LI,0.154427,6475.53,647.553,1
wiki_ts,0.5,HRT-LI v3,0.380801,2626.04,262.604,1
wiki_ts,0.5,ALEX,7.49933,133.345,13.3345,1
wiki_ts,0.5,Dynamic PGM,4.68361,213.51,21.351,1
wiki_ts,0.5,HOT,1.4339,697.399,69.7399,1
wiki_ts,0.5,ART,1.15072,869.022,86.9022,1
wiki_ts,0.75,HRT-LI,0.101671,9835.68,983.568,1
wiki_ts,0.75,HRT-LI v3,0.350368,2854.14,285.414,1
wiki_ts,0.75,ALEX,8.15148,122.677,12.2677,1
wiki_ts,0.75,Dynamic PGM,6.48534,154.194,15.4194,1
wiki_ts,0.75,HOT,1.85762,538.323,53.8323,1
wiki_ts,0.75,ART,2.30007,434.77,43.477,1
wiki_ts,1,HRT-LI,0.0978518,10219.5,1021.95,1
wiki_ts,1,HRT-LI v3,0.544636,1836.09,183.609,1
wiki_ts,1,ALEX,8.43742,118.52,11.852,1
wiki_ts,1,Dynamic PGM,9.87801,101.235,10.1235,1
wiki_ts,1,HOT,3.4527,289.628,28.9628,1
wiki_ts,1,ART,4.0549,246.615,24.6615,1
osm_cellids,0,HRT-LI,0.778943,1283.79,128.379,1
osm_cellids,0,HRT-LI v3,0.470571,2125.08,212.508,1
osm_cellids,0,ALEX,9.87089,101.308,10.1308,1
osm_cellids,0,Dynamic PGM,6.68423,149.606,14.9606,1
osm_cellids,0,HOT,1.05837,944.852,94.4852,1
osm_cellids,0,ART,1.16453,858.716,85.8716,1
osm_cellids,0.01,HRT-LI,0.701945,1424.61,142.461,1
osm_cellids,0.01,HRT-LI v3,0.395044,2531.36,253.136,1
osm_cellids,0.01,ALEX,8.70005,114.942,11.4942,1
osm_cellids,0.01,Dynamic PGM,4.28355,233.451,23.3451,1
osm_cellids,0.01,HOT,1.07394,931.148,93.1148,1
osm_cellids,0.01,ART,0.952641,1049.71,104.971,1
osm_cellids,0.02,HRT-LI,0.79499,1257.88,125.788,1
osm_cellids,0.02,HRT-LI v3,0.356644,2803.91,280.391,1
osm_cellids,0.02,ALEX,8.17056,122.391,12.2391,1
osm_cellids,0.02,Dynamic PGM,3.6689,272.561,27.2561,1
osm_cellids,0.02,HOT,0.769345,1299.81,129.981,1
osm_cellids,0.02,ART,1.1534,866.999,86.6999,1
osm_cellids,0.05,HRT-LI,0.974797,1025.85,102.585,1
osm_cellids,0.05,HRT-LI v3,0.473237,2113.11,211.311,1
osm_cellids,0.05,ALEX,8.97264,111.45,11.145,1
osm_cellids,0.05,Dynamic PGM,3.55501,281.293,28.1293,1
osm_cellids,0.05,HOT,0.862915,1158.86,115.886,1
osm_cellids,0.05,ART,1.16089,861.408,86.1408,1
osm_cellids,0.1,HRT-LI,0.744859,1342.54,134.254,1
osm_cellids,0.1,HRT-LI v3,0.464777,2151.57,215.157,1
osm_cellids,0.1,ALEX,8.81902,113.391,11.3391,1
osm_cellids,0.1,Dynamic PGM,3.52334,283.822,28.3822,1
osm_cellids,0.1,HOT,0.89411,1118.43,111.843,1
osm_cellids,0.1,ART,1.26839,788.404,78.8404,1
osm_cellids,0.25,HRT-LI,0.833304,1200.04,120.004,1
osm_cellids,0.25,HRT-LI v3,0.454736,2199.08,219.908,1
osm_cellids,0.25,ALEX,7.84255,127.51,12.751,1
osm_cellids,0.25,Dynamic PGM,4.10782,243.438,24.3438,1
osm_cellids,0.25,HOT,1.08698,919.981,91.9981,1
osm_cellids,0.25,ART,1.3866,721.186,72.1186,1
osm_cellids,0.5,HRT-LI,0.633811,1577.76,157.776,1
osm_cellids,0.5,HRT-LI v3,0.485943,2057.86,205.786,1
osm_cellids,0.5,ALEX,7.96236,125.591,12.5591,1
osm_cellids,0.5,Dynamic PGM,4.02872,248.218,24.8218,1
osm_cellids,0.5,HOT,1.18089,846.816,84.6816,1
osm_cellids,0.5,ART,1.69061,591.503,59.1503,1
osm_cellids,0.75,HRT-LI,0.580281,1723.3,172.33,1
osm_cellids,0.75,HRT-LI v3,0.498436,2006.27,200.627,1
osm_cellids,0.75,ALEX,7.9526,125.745,12.5745,1
osm_cellids,0.75,Dynamic PGM,5.85563,170.776,17.0776,1
osm_cellids,0.75,HOT,1.77036,564.856,56.4856,1
osm_cellids,0.75,ART,2.08706,479.144,47.9144,1
osm_cellids,1,HRT-LI,0.571904,1748.55,174.855,1
osm_cellids,1,HRT-LI v3,0.492302,2031.27,203.127,1
osm_cellids,1,ALEX,12.2438,81.6743,8.16743,1
osm_cellids,1,Dynamic PGM,10.2631,97.4367,9.74367,1
osm_cellids,1,HOT,2.56378,390.049,39.0049,1
osm_cellids,1,ART,4.96981,201.215,20.1215,1
wiki_ts,0,HRT-LI,0.876932,1140.34,114.034,2
wiki_ts,0,HRT-LI v3,0.525793,1901.89,190.189,2
wiki_ts,0,ALEX,9.99289,100.071,10.0071,2
wiki_ts,0,Dynamic PGM,7.31611,136.685,13.6685,2
wiki_ts,0,HOT,0.932369,1072.54,107.254,2
wiki_ts,0,ART,1.42761,700.469,70.0469,2
wiki_ts,0.01,HRT-LI,0.706778,1414.87,141.487,2
wiki_ts,0.01,HRT-LI v3,0.405508,2466.04,246.604,2
wiki_ts,0.01,ALEX,9.63855,103.75,10.375,2
wiki_ts,0.01,Dynamic PGM,3.70223,270.107,27.0107,2
wiki_ts,0.01,HOT,0.840981,1189.09,118.909,2
wiki_ts,0.01,ART,1.33922,746.701,74.6701,2
wiki_ts,0.02,HRT-LI,0.632464,1581.12,158.112,2
wiki_ts,0.02,HRT-LI v3,0.525214,1903.99,190.399,2
wiki_ts,0.02,ALEX,10.0344,99.6567,9.96567,2
wiki_ts,0.02,Dynamic PGM,3.73717,267.582,26.7582,2
wiki_ts,0.02,HOT,1.04007,961.475,96.1475,2
wiki_ts,0.02,ART,1.30705,765.081,76.5081,2
wiki_ts,0.05,HRT-LI,0.558713,1789.83,178.983,2
